date,val
770121,209
770122,0
770123,325
770124,2038
770125,1451
770126,745
770127,514
770128,2345
770129,1437
770130,246
770131,1366
770202,570
770204,1264
770205,819
770206,1733
770208,2343
770209,1481
770210,1733
770211,0
770213,1512
770215,2038
770218,1124
770219,0
770222,1124
770223,1124
770224,2118
770225,2648
770226,0
770228,2038
770301,0
770302,2038
770303,3867
770305,3257
770306,2038
770307,1271
770308,1531
770309,1733
770310,3381
770313,1211
770314,2038
770315,3257
770316,2038
770317,0
770318,2505
770319,3257
770322,1687
770324,209
770325,3037
770326,4482
770327,0
770329,2841
770330,2648
770401,3782
770402,2648
770403,1346
770405,2388
770406,2772
770407,3404
770408,3871
770409,3257
770411,4121
770412,4612
770416,4076
770417,2648
770418,3452
770419,4825
770420,819
770424,0
770425,0
770426,4172
770427,3562
770430,3703
770501,3380
770503,2755
770504,3257
770507,3257
770508,3257
770509,3257
770510,3257
770512,3562
770513,41
770515,2648
770517,4477
770519,4580
770520,3573
770521,2648
770522,3299
770523,2953
770525,3257
770526,4111
770527,3824
770529,2648
770530,4201
770601,1583
770602,4708
770603,3609
770604,1542
770605,3666
770606,3562
770607,4477
770608,4078
770609,3562
770610,4477
770611,4642
770612,3431
770613,4251
770614,4477
770615,5417
770616,5061
770619,5035
770620,209
770621,2648
770622,3052
770623,1124
770624,3257
770625,2377
770626,3257
770627,4477
770628,0
770629,0
770630,0
770702,3257
770703,2892
770704,4536
770705,819
770706,3297
770707,4172
770708,4623
770709,2648
770720,514
770721,3259
770722,2207
770723,0
770724,2648
770726,2648
770728,3257
770730,4526
770731,3581
770801,5193
770802,2648
770803,3257
770804,4477
770805,209
770806,3461
770807,4321
770808,3354
770809,3590
770810,3257
770811,1537
770813,1551
770814,2650
770815,1124
770816,2189
770817,2038
770818,2648
770819,1733
770820,2648
770822,3574
770823,3257
770824,3257
770825,3618
770826,3257
770827,3257
770828,3952
770829,3257
770830,3954
770831,209
770901,2077
770902,819
770903,0
770904,1124
770905,2848
770906,819
770907,2700
770908,2648
770909,1124
770910,209
770911,3562
770912,0
770913,1497
770914,3294
770915,2898
770916,3291
770917,3257
770918,2953
770920,0
770921,3436
770922,0
770923,0
770925,2648
770926,2343
770927,514
770928,209
770929,2648
770930,1795
771001,2135
771002,1519
771003,2060
771004,1124
771005,1531
771006,2038
771007,1162
771008,2648
771009,2038
771010,3144
771011,2822
771012,1124
771013,1124
771014,1525
771015,2038
771017,819
771018,3257
771019,2791
771020,3443
771021,3257
771023,1780
771025,2473
771026,1553
771027,2343
771028,2038
771029,2297
771030,514
771031,0
771101,2660
771102,1888
771103,514
771105,972
771106,1124
771108,0
771109,2107
771111,987
771112,514
771113,819
771116,1716
